IGR179,Cabbage,Weight
IGR180,Cajeput,Amount
IGR181,Cake,Amount
IGR182,Calamus,Amount
IGR183,Camembert Cheese,Weight
IGR184,Camphor,Volume
IGR185,Canada blueberry,Amount
IGR186,Canadian Whisky,Volume
IGR187,Candy bar,Amount
IGR188,Canned Tomato,Volume
IGR189,Cannellini,Weight
IGR190,Canola oil,Volume
IGR191,Caper,Weight
IGR192,Capers,Weight
IGR193,Capsicum,Weight
IGR194,Caramel,Volume
IGR195,Caraway,Weight
IGR196,Caraway seed,Weight
IGR197,Cardamom,Weight
IGR198,Cardoon,Weight
IGR199,Caribou,Weight
IGR200,Carob,Amount
IGR201,Carom Seed,Weight
IGR202,Carp bream,Weight
IGR203,Carrot,Weight
IGR204,Cascarilla,Weight
IGR205,Casein,Weight
IGR206,Cashew,Weight
IGR207,Cashew Apple,Amount
IGR208,Cashew nut,Weight
IGR209,Cassava,Amount
IGR210,Cassia,Amount
IGR211,Caster sugar,Weight
IGR212,Catfish,Weight
IGR213,Catjang pea,Weight
IGR214,Cauliflower,Weight
IGR215,Caviar,Weight
IGR216,Cayenne,Amount
IGR217,Cayenne pepper,Amount
IGR218,Cedar,Amount
IGR219,Celeriac,Weight
IGR220,Celery,Weight
IGR221,Celery Root,Weight
IGR222,Cereal,Amount
IGR223,Ceriman,Amount
IGR224,Cetacea,Amount
IGR225,Chamomile,Amount
IGR226,Champaca,Amount
IGR227,Champagne,Volume
IGR228,Channel catfish,Weight
IGR229,Chanterelle,Weight
IGR230,Chard,Weight
IGR231,Charr,Weight
IGR232,Chayote,Amount
IGR233,Cheddar Cheese,Weight
IGR234,Cheese,Weight
IGR235,Cherimoya,Amount
IGR236,Cherries,Amount
IGR237,Cherry,Amount
IGR238,Cherry Brandy,Volume
IGR239,Cherry Pepper,Amount
IGR240,Cherry Tomato,Amount
IGR241,Chervil,Weight
IGR242,Chestnut,Weight
IGR243,Chewing gum,Amount
IGR244,Chia,Weight
IGR245,Chicken,Weight
IGR246,Chicken Breast,Weight
IGR247,Chicken Broth,Volume
IGR248,Chicken drumstick,Weight
IGR249,Chicken leg,Weight
IGR250,Chicken stock,Volume
IGR251,Chicken thigh,Weight
IGR252,Chickpea,Weight
IGR253,Chickpeas,Weight
IGR254,Chicory,Weight
IGR255,Chile,Amount
IGR256,Chilies,Amount
IGR257,Chilli,Amount
IGR258,Chimichanga,Amount
IGR259,Chinese bayberry,Amount
IGR260,Chinese chestnut,Weight
IGR261,Chinese Quince,Amount
IGR262,Chinook salmon,Weight
IGR263,Chipotle Pepper,Amount
IGR264,Chive,Weight
IGR265,Chocolate,Weight
IGR266,Chocolate mousse,Volume
IGR267,Chocolate spread,Volume
IGR268,Chop,Amount
IGR269,Choy,Amount
IGR270,Chum salmon,Weight
IGR271,Chutney,Volume
IGR272,Ciabatta,Amount
IGR273,Cichlidae,Amount
IGR274,Cider,Volume
IGR275,Cilantro,Weight
IGR276,Cinnamon,Weight
IGR277,Cisco,Weight
IGR278,Citric Acid,Weight
IGR279,Citronella Oil,Volume
IGR280,Citrus Fruits,Amount
IGR281,Citrus Peel Oil,Volume
IGR282,Clam,Weight
IGR283,Clarified butter,Volume
IGR284,Clary Sage,Volume
IGR285,Climbing bean,Amount
IGR286,Cloud ear fungus,Amount
IGR287,Cloudberry,Amount
IGR288,Clove,Weight
IGR289,Cloves,Weight
IGR290,Clupeinae,Amount
IGR291,Cluster Bean,Amount
IGR292,Cocktail,Volume
IGR293,Cocoa,Weight
IGR294,Cocoa butter,Weight
IGR295,Cocoa powder,Weight
IGR296,Coconut,Amount
IGR297,Coconut Milk,Volume
IGR298,Coconut Oil,Volume
IGR299,Cod,Weight
IGR300,Codfish,Weight
IGR301,Coffee,Weight
IGR302,Coffee mocha,Volume
IGR303,Cognac Brandy,Volume
IGR304,Coho salmon,Weight
IGR305,Cold cut,Weight
IGR306,Coleslaw,Volume
IGR307,Colocasia,Weight
IGR308,Colorado pinyon,Weight
IGR309,Columbidae,Amount
IGR310,Common carp,Weight
IGR311,Common dab,Weight
IGR312,Common ling,Weight
IGR313,Common octopus,Weight
IGR314,Common persimmon,Amount
IGR315,Common salsify,Weight
IGR316,Common Tuna,Weight
IGR317,Common verbena,Amount
IGR318,Comte Cheese,Weight
IGR319,Conch,Weight
IGR320,Condensed milk,Volume
IGR321,Cooking oil,Volume
IGR322,Cooking Spray,Volume
